price_date,n_rows,actual_avg_price,predicted_avg_price,mean_signed_pct_error_pct,mape_pct,max_abs_pct_error_pct,mae,max_abs_error,latest_observed_at_date,actual_latest_price,predicted_latest_price,latest_error_pct,latest_abs_error_pct
2026-03-26,1,425.0,393.9077,-7.3158,7.3158,7.3158,31.0923,31.0923,2026-03-26,425.0,393.9077,-7.3158,7.3158
2026-03-29,1,447.0,364.5001,-18.4563,18.4563,18.4563,82.4999,82.4999,2026-03-27,447.0,364.5001,-18.4563,18.4563
2026-03-30,3,371.5,356.429,-4.0568,5.7313,7.3411,21.2919,27.2722,2026-03-28,371.5,344.2278,-7.3411,7.3411
2026-03-31,4,371.5,355.0024,-4.4408,4.4896,7.2828,16.6789,27.0557,2026-03-28,371.5,344.4443,-7.2828,7.2828
2026-04-01,4,423.625,402.612,-4.5667,6.9229,8.2698,29.7662,36.9661,2026-03-28,447.0,410.0339,-8.2698,8.2698
2026-04-03,1,528.0,460.8552,-12.7168,12.7168,12.7168,67.1447,67.1447,2026-03-26,528.0,460.8552,-12.7168,12.7168
2026-04-04,4,522.0,380.4054,-27.1254,27.1254,38.1466,141.5946,199.1254,2026-03-30,522.0,364.8783,-30.0999,30.0999
2026-04-05,9,436.3333,394.8139,-9.1063,10.3516,33.5126,46.4386,149.8014,2026-04-01,415.0,418.3294,0.8023,0.8023
2026-04-06,14,431.5714,365.7425,-14.7743,14.7743,38.4769,65.8289,171.9916,2026-04-01,415.0,387.4668,-6.6345,6.6345
2026-04-07,14,425.5714,361.2422,-14.5068,14.5068,37.0353,64.3292,165.5479,2026-04-01,387.0,383.7715,-0.8342,0.8342
2026-04-08,16,417.0,365.9434,-11.5231,12.1841,35.5958,53.6147,159.1134,2026-04-01,387.0,393.8433,1.7683,1.7683
2026-04-09,16,460.0625,392.9732,-14.1423,14.918,31.2671,70.2523,139.7639,2026-04-01,445.0,449.9366,1.1093,1.1093
2026-04-10,10,474.5,436.9659,-6.7211,8.6243,31.1729,45.7201,175.3477,2026-04-01,445.0,448.4802,0.7821,0.7821
2026-04-11,10,503.6,421.3254,-15.6005,15.6005,32.3396,82.2746,181.9101,2026-04-01,445.0,426.8228,-4.0848,4.0848
2026-04-12,8,460.75,389.5497,-15.2635,15.2635,33.6482,71.2003,150.4074,2026-04-01,445.0,416.6388,-6.3733,6.3733
2026-04-13,8,447.0,360.9089,-19.2598,19.2598,36.5895,86.0911,163.5549,2026-04-01,447.0,376.1255,-15.8556,15.8556
2026-04-14,8,447.0,354.5053,-20.6923,20.6923,36.1474,92.4947,161.5789,2026-04-01,447.0,359.7577,-19.5173,19.5173
2026-04-15,9,440.3333,371.4,-15.4141,15.522,33.82,69.3511,151.1752,2026-04-01,447.0,380.1651,-14.9519,14.9519
2026-04-16,10,464.0,398.5955,-13.7418,13.7418,33.7374,65.4045,170.374,2026-04-01,447.0,380.7986,-14.8101,14.8101
2026-04-17,13,521.7308,453.64,-12.7417,13.2645,26.0202,70.4173,131.4021,2026-04-01,502.5,455.9544,-9.2628,9.2628
2026-04-18,13,521.7308,447.1914,-13.9672,14.1433,27.4792,75.3229,138.7697,2026-04-01,502.5,461.264,-8.2062,8.2062
2026-04-19,9,466.1111,390.5231,-15.8325,15.8325,35.4647,75.588,179.0969,2026-04-01,447.0,382.5751,-14.4127,14.4127
2026-04-20,8,447.0,359.0361,-19.6787,19.6787,37.4547,87.9639,167.4227,2026-04-01,447.0,364.2008,-18.5233,18.5233
2026-04-21,8,447.0,358.2607,-19.8522,19.8522,35.3435,88.7393,157.9855,2026-04-01,447.0,363.9816,-18.5723,18.5723
2026-04-22,8,447.0,359.1476,-19.6538,19.6538,36.1398,87.8524,161.545,2026-04-01,447.0,369.2178,-17.4009,17.4009
2026-04-23,8,483.25,387.339,-19.9191,19.9191,34.2144,95.911,152.9382,2026-04-01,505.0,418.3568,-17.1571,17.1571
2026-04-24,8,529.125,431.5896,-18.2318,18.2318,31.4402,97.5355,176.8509,2026-04-01,505.0,433.5215,-14.1542,14.1542
2026-04-25,8,517.125,423.6219,-17.7431,17.7431,32.1712,93.5031,180.9631,2026-04-01,505.0,423.3575,-16.1668,16.1668
2026-04-26,7,460.2857,388.1572,-15.4881,15.4881,32.5793,72.1285,145.6293,2026-04-01,505.0,415.8406,-17.6553,17.6553
2026-04-27,6,438.6667,363.5698,-16.9527,16.9527,35.5719,75.0969,159.0063,2026-04-01,447.0,370.8114,-17.0444,17.0444
2026-04-28,3,442.8333,358.8797,-18.9356,18.9356,20.2404,83.9536,90.4747,2026-04-01,447.0,356.5253,-20.2404,20.2404
2026-04-29,3,434.5,360.7632,-16.9705,16.9705,18.6145,73.7369,80.8799,2026-04-01,434.5,367.2644,-15.4743,15.4743
2026-04-30,2,434.5,355.9207,-18.085,18.085,19.026,78.5793,82.668,2026-04-01,434.5,351.832,-19.026,19.026
